relationship_id,source_id,source,relationship,target_id,target,evidence,period,evidence_summary,basis,follow_up,source_url
,TL-WOM-012,Formation of the Manchester and Salford Women's Trades Council (TL-WOM-012),took part in,200085,Eva Gore-Booth,On the record,,,Key figures column for 1895: Eva Gore-Booth,,VictorianManchester_KeyPeople.xlsx(1).pdf
,TL-WOM-012,Formation of the Manchester and Salford Women's Trades Council (TL-WOM-012),happened at,PL-BASE-029,Manchester Town Hall,On the record,,,Place column for 1895: Manchester Town Hall,,VictorianManchester_KeyPeople.xlsx(1).pdf
,TL-WOM-013,Margaret Ashton elected as Manchester's first female city councillor,took part in,200077,Margaret Ashton,On the record,,,Key figures column for 1908: Margaret Ashton,,VictorianManchester_KeyPeople.xlsx(1).pdf
,TL-WOM-013,Margaret Ashton elected as Manchester's first female city councillor,happened at,PL-BASE-029,Manchester Town Hall,On the record,,,Place column for 1908: Manchester Town Hall,,VictorianManchester_KeyPeople.xlsx(1).pdf
,TL-WOM-016,Agnes Pochin's advocacy for women's suffrage,took part in,GH-POCHIN,Agnes Pochin,On the record,,,Key figures column for 1868: Agnes Pochin,,VictorianManchester_KeyPeople.xlsx(1).pdf
,TL-WOM-016,Agnes Pochin's advocacy for women's suffrage,happened at,PL-BASE-022,Free Trade Hall,On the record,,,"Place column for 1868: Salford / Free Trade Hall, Manchester",,VictorianManchester_KeyPeople.xlsx(1).pdf
REL-015,200068,Lydia Becker,Cross-theme trajectory,COL-005,Manchester women's suffrage network,A reading,1860s onward,Her botanical work and constraints on women's scientific participation preceded her suffrage leadership.,"Relationships sheet, row REL-015",Test the causality rather than assuming it.,https://www.museum.manchester.ac.uk/collections/botany
REL-017,COL-002,Manchester field naturalists,Collected in / documented,COL-006,"Mosses, cloughs and river valleys",A reading,19th century,Specimens and publications connect people to changing landscapes.,"Relationships sheet, row REL-017",Turn each documented visit into a specific relationship row.,https://www.gutenberg.org/cache/epub/47578/pg47578-images.html
REL-018,COL-003,Textile wealth,Financed / enabled,COL-004,Private collections and museum institutions,A reading,18th-19th century,Philips and Sidebotham show how industrial wealth could be converted into scientific collections and civic institutions.,"Relationships sheet, row REL-018","Track capital, labour, colonial materials and institutional credit explicitly.",https://www.manchester.ac.uk/about/history-heritage/history/buildings/museum/
,200071,Miss Lala,grouped under,COL-022,Circus and popular performance,On the record,,,Filed under “Circus” in the source's own Category column: Mixed-race performer in travelling circus,,https://via.library.depaul.edu/cgi/viewcontent.cgi?article=1243&context=etd
